RANK_birds,MOVEMENT_birds,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS,RANK_bogs,MOVEMENT_bogs,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,57975,Harry Hall,4.51,352,78,11,-2,2.15,168,78
2,0,33448,Justin Thomas,4.5,288,64,29,-1,2.34,150,64
3,0,47420,Jake Knapp,4.45,316,71,4,3,2.04,145,71
4,-1,46046,Scottie Scheffler,4.42,283,64,1,0,1.75,112,64
5,2,39546,Keith Mitchell,4.38,280,64,71,-9,2.5,160,64
6,20,48117,Kurt Kitayama,4.37,236,54,37,-4,2.37,128,54
7,4,56630,Akshay Bhatia,4.35,296,68,124,-10,2.69,183,68
7,-1,49960,Sepp Straka,4.35,296,68,3,0,2.03,138,68
9,-1,52453,Nicolai Højgaard,4.33,182,42,34,-3,2.36,99,42
10,-5,57364,Michael Thorbjornsen,4.31,237,55,56,-11,2.45,135,55
11,0,57586,Jesper Svensson,4.3,297,69,116,17,2.67,184,69
12,-3,51766,Wyndham Clark,4.28,308,72,93,14,2.57,185,72
13,-4,28237,Rory McIlroy,4.24,212,50,16,-2,2.22,111,50
14,1,55789,Taylor Montgomery,4.23,203,48,89,26,2.56,123,48
14,-1,45242,Kevin Yu,4.23,300,71,69,-1,2.49,177,71
16,-2,50525,Collin Morikawa,4.21,236,56,84,-4,2.55,143,56
17,0,46340,Alex Smalley,4.2,277,66,10,6,2.14,141,66
17,0,54607,Danny Walker,4.2,206,49,129,4,2.73,134,49
19,3,59095,Chris Gotterup,4.19,314,75,8,2,2.13,160,75
20,-4,34098,Russell Henley,4.16,233,56,27,-2,2.32,130,56
21,-2,50484,Hayden Springer,4.15,224,54,138,-5,2.76,149,54
22,10,56781,Isaiah Salinda,4.14,207,50,119,-4,2.68,134,50
23,-4,47504,Sam Burns,4.13,322,78,62,2,2.46,192,78
24,-5,35450,Patrick Cantlay,4.12,239,58,34,-3,2.36,137,58
25,-3,46717,Viktor Hovland,4.11,218,53,142,-9,2.77,147,53
